No,hour,minute,second,latitude (deg),longitude (deg),depth (km)
1,0,3,10,55.9002,-120.3814,3.8
2,0,17,50,55.9011,-120.3797,4
3,0,44,15,55.8985,-120.3847,3.1
4,1,8,40,55.9002,-120.3814,3.6
5,1,45,0,55.9002,-120.383,3.7
6,2,18,50,55.8984,-120.3815,2.4
7,2,34,20,55.9064,-120.3778,2.6
8,2,48,10,55.9072,-120.3729,3.6
9,3,9,35,55.909,-120.3744,2.2
10,3,15,20,55.9028,-120.378,2.2
11,3,27,25,55.9055,-120.3778,2.3
12,3,28,55,55.902,-120.3828,3.5
13,3,33,45,55.9065,-120.3794,2.9
14,3,39,30,55.9037,-120.3779,2.4
15,3,42,30,55.9001,-120.3766,3.9
16,3,43,10,55.9021,-120.3844,2.9
17,3,46,5,55.9028,-120.378,3.2
18,3,46,10,55.9029,-120.3796,2.6
19,3,52,45,55.9029,-120.3828,4
20,3,55,5,55.902,-120.3828,3.8
21,3,56,0,55.902,-120.3828,3.6
22,3,59,20,55.8984,-120.3831,3.1
23,4,0,45,55.9064,-120.3762,3.7
24,4,1,55,55.9064,-120.3778,3.6
25,4,6,40,55.9021,-120.3844,3.7
26,4,10,40,55.9021,-120.3844,3.6
27,4,11,55,55.9064,-120.3762,3.7
28,4,12,40,55.9047,-120.3811,3.7
29,4,22,25,55.9021,-120.3844,3.7
30,4,26,45,55.8993,-120.3798,2.5
31,4,28,45,55.8995,-120.391,3.2
32,4,35,45,55.9002,-120.383,3.7
33,4,37,0,55.9073,-120.3761,3.5
34,4,37,35,55.9012,-120.3845,3.5
35,4,38,45,55.9065,-120.3794,2.9
36,4,44,5,55.9021,-120.3844,3.7
37,4,47,15,55.902,-120.3828,3.7
38,4,49,40,55.9037,-120.3779,2.1
39,4,55,50,55.9056,-120.3794,3.7
40,5,0,55,55.9064,-120.3778,3.3
41,5,9,25,55.9047,-120.3795,3.5
42,5,19,5,55.8584,-120.4002,1.9
43,5,19,25,55.9021,-120.3844,3.5
44,5,23,0,55.9038,-120.3811,3.3
45,5,25,5,55.9021,-120.386,2.7
46,5,35,20,55.9021,-120.3844,3.7
47,5,41,25,55.9056,-120.3794,3.6
48,5,43,5,55.9073,-120.3761,3.6
49,5,49,20,55.9064,-120.3762,3.6
50,5,51,40,55.9021,-120.3844,3.5
51,6,1,20,55.9037,-120.3779,2.1
52,6,1,55,55.9002,-120.3798,2.2
53,6,5,45,55.9029,-120.3812,2.4
54,6,16,25,55.9081,-120.3744,3.2
55,6,21,30,55.9065,-120.3794,3.5
56,6,28,15,55.9021,-120.386,2.3
57,6,28,50,55.902,-120.3813,2.5
58,6,31,5,55.9047,-120.3795,2.2
59,6,37,30,55.9064,-120.3778,3.8
60,6,40,15,55.9037,-120.3779,2.4
61,6,47,10,55.902,-120.3828,3.7
62,6,53,50,55.9029,-120.3796,2.6
63,6,55,25,55.902,-120.3828,2.3
64,7,0,40,55.9047,-120.3811,3.1
65,7,9,5,55.9064,-120.3762,3.4
66,7,11,40,55.9074,-120.3793,3.7
67,7,18,55,55.9029,-120.3812,2.3
68,7,39,45,55.9029,-120.3812,2.2
69,7,43,40,55.9056,-120.3794,3.6
70,7,47,25,55.9064,-120.3778,3.8
71,7,59,55,55.9028,-120.378,2.2
72,8,4,15,55.9074,-120.3793,3.9
73,8,10,10,55.9064,-120.3778,3.7
74,8,36,25,55.9012,-120.3877,2.3
75,8,49,30,55.9056,-120.3826,2.4
76,9,27,30,55.9056,-120.3794,2.2
77,9,59,15,55.9055,-120.3778,2.3
78,10,12,5,55.9065,-120.3809,3.1
79,10,12,10,55.9056,-120.3826,2.4
80,10,21,40,55.9072,-120.3729,3.2
81,10,53,30,55.9064,-120.3762,2.2
82,11,21,50,55.9049,-120.3891,2.3
83,11,38,0,55.9075,-120.3841,2.1
84,11,52,0,55.9048,-120.3875,2.6
85,11,57,55,55.9046,-120.3779,2.3
86,12,19,0,55.9049,-120.3891,2.2
87,12,20,25,55.9075,-120.3841,2.1
88,12,58,15,55.904,-120.3891,2.2
89,13,28,55,55.9058,-120.389,4
90,14,7,40,55.9031,-120.3892,2.5
91,14,17,35,55.908,-120.3696,3.5
92,14,21,55,55.9056,-120.381,2.3
93,14,44,0,55.9031,-120.3908,2.2
94,15,0,35,55.904,-120.3907,2.3
95,15,30,40,55.9031,-120.3892,2.4
96,15,42,50,55.9048,-120.3875,2.4
97,16,1,40,55.904,-120.3923,2.2
98,16,24,50,55.9022,-120.3892,2.1
99,16,59,30,55.904,-120.3923,2.2
100,17,40,25,55.9023,-120.394,2.3
