Number	Month	Day	Hour	Minute	Second	Easting (m)	Northing (m)	Depth (m)	Magnitude Mw
1	10 	27 	10 	17 	4.240 	3390 	5100 	3200 	nan
2	10 	27 	10 	29 	0.471 	3390 	5070 	3290 	-0.270 
3	10 	27 	10 	45 	59.239 	3120 	4650 	3680 	0.050 
4	10 	27 	10 	51 	52.702 	3390 	5070 	3500 	-0.270 
5	10 	27 	10 	52 	24.684 	3090 	4800 	3740 	nan
6	10 	27 	11 	31 	2.240 	3420 	5160 	3770 	-0.280 
7	10 	27 	11 	35 	38.481 	3420 	5040 	3350 	-0.070 
8	10 	27 	11 	43 	40.462 	3030 	4770 	3710 	-0.050 
9	10 	27 	11 	46 	14.567 	3420 	5070 	3500 	-0.160 
10	10 	27 	12 	14 	42.048 	3450 	5100 	3320 	-0.260 
11	10 	27 	12 	26 	15.776 	3450 	5100 	3320 	-0.280 
12	10 	27 	12 	46 	23.426 	3360 	5010 	3410 	-0.220 
13	10 	27 	12 	58 	17.282 	3420 	5100 	3500 	-0.380 
14	10 	27 	13 	30 	11.349 	3450 	5100 	3410 	0.030 
15	10 	27 	13 	57 	26.037 	3420 	5070 	3260 	nan
16	10 	27 	14 	3 	48.330 	3420 	5070 	3350 	-0.080 
17	10 	27 	14 	13 	52.887 	3420 	5130 	3620 	nan
18	10 	27 	14 	30 	49.146 	3450 	5100 	3380 	-0.160 
19	10 	27 	14 	56 	45.718 	3450 	5100 	3260 	0.060 
20	10 	27 	15 	25 	25.180 	3450 	5130 	3470 	nan
21	10 	27 	15 	44 	12.151 	3390 	4950 	3500 	-0.160 
22	10 	27 	16 	25 	12.521 	3390 	5130 	3560 	-0.240 
23	10 	27 	17 	0 	24.767 	3390 	5130 	3500 	-0.430 
24	10 	27 	17 	5 	21.878 	3030 	4770 	3980 	-0.070 
25	10 	27 	17 	6 	57.522 	3060 	4800 	3560 	-0.020 
26	10 	27 	17 	7 	40.501 	3060 	4740 	4070 	0.020 
27	10 	27 	17 	9 	31.988 	3000 	4740 	3890 	-0.140 
28	10 	27 	17 	15 	7.285 	2940 	4770 	3980 	-0.030 
29	10 	27 	17 	20 	50.708 	3450 	5100 	3320 	0.120 
30	10 	27 	17 	47 	3.720 	2970 	4620 	3800 	-0.060 
31	10 	27 	18 	1 	48.111 	3450 	5100 	3380 	nan
32	10 	27 	18 	10 	32.954 	3300 	4950 	3230 	-0.370 
33	10 	27 	18 	22 	12.594 	3450 	5130 	3440 	-0.610 
34	10 	27 	18 	39 	19.059 	3360 	5040 	3350 	0.070 
35	10 	27 	18 	53 	6.699 	3420 	5160 	3320 	nan
36	10 	27 	19 	6 	2.280 	3450 	5100 	3410 	-0.230 
37	10 	27 	19 	15 	44.151 	3450 	5100 	3320 	0.120 
38	10 	27 	19 	16 	22.361 	3360 	5040 	3440 	-0.140 
39	10 	27 	19 	16 	32.577 	3420 	5070 	3470 	-0.320 
40	10 	27 	19 	51 	20.790 	3420 	5100 	3500 	-0.450 
41	10 	27 	20 	9 	48.930 	3450 	5160 	3470 	nan
42	10 	27 	20 	22 	35.934 	3360 	5040 	3440 	-0.320 
43	10 	27 	20 	23 	28.756 	3450 	5130 	3530 	nan
44	10 	27 	20 	25 	55.917 	3480 	5160 	3440 	0.150 
45	10 	27 	20 	57 	12.484 	3390 	5100 	3530 	-0.360 
46	10 	27 	21 	26 	17.512 	3450 	5100 	3410 	0.270 
47	10 	27 	21 	59 	37.587 	3450 	5100 	3440 	-0.780 
48	10 	27 	22 	15 	51.528 	3450 	5160 	3530 	-0.450 
49	10 	27 	22 	22 	42.823 	3360 	5100 	3620 	nan
50	10 	27 	22 	27 	39.055 	3420 	5100 	3320 	nan
51	10 	27 	22 	36 	38.695 	3480 	5130 	3290 	0.180 
52	10 	27 	22 	37 	28.202 	3390 	5040 	3470 	-0.210 
53	10 	27 	22 	49 	17.575 	3450 	5160 	3590 	-0.300 
54	10 	27 	22 	56 	39.259 	3420 	5100 	3500 	-0.240 
55	10 	27 	23 	15 	41.012 	3480 	5130 	3440 	-0.340 
56	10 	27 	23 	24 	36.550 	3450 	5040 	3260 	-0.070 
57	10 	28 	0 	8 	58.372 	3360 	5040 	3350 	0.220 
58	10 	28 	0 	44 	20.305 	3390 	5040 	3410 	-0.140 
59	10 	28 	0 	44 	24.469 	3450 	5130 	3380 	-0.150 
60	10 	28 	1 	19 	13.219 	3450 	5130 	3320 	-0.450 
61	10 	28 	1 	32 	50.095 	3390 	5100 	3470 	-0.280 
62	10 	28 	1 	42 	32.234 	3450 	5100 	3470 	-0.090 
63	10 	28 	1 	54 	55.424 	3420 	5130 	3440 	-0.380 
64	10 	28 	2 	12 	57.108 	3450 	5070 	3410 	-0.150 
65	10 	28 	2 	13 	26.461 	3420 	5100 	3440 	-0.320 
66	10 	28 	2 	32 	54.165 	3450 	5130 	3470 	-0.660 
67	10 	28 	3 	10 	44.466 	3390 	5070 	3380 	-0.100 
68	10 	28 	3 	22 	59.410 	3450 	5130 	3260 	-0.110 
69	10 	28 	4 	12 	20.211 	3480 	5160 	3350 	-0.010 
70	10 	28 	4 	36 	4.320 	3360 	5010 	3470 	-0.230 
71	10 	28 	6 	27 	59.738 	3330 	4980 	3380 	-0.320 
72	10 	28 	6 	45 	40.165 	3390 	5100 	3410 	-0.030 
73	10 	28 	7 	34 	58.151 	3270 	4920 	3350 	-0.230 
74	10 	28 	7 	35 	19.551 	3420 	4980 	3500 	-0.080 
75	10 	28 	7 	48 	59.324 	3240 	4890 	3260 	-0.310 
76	10 	28 	7 	50 	57.060 	3300 	4980 	3500 	-0.620 
77	10 	28 	8 	6 	55.938 	3300 	4980 	3710 	-0.130 
78	10 	28 	8 	26 	13.382 	3330 	4980 	3410 	-0.240 
79	10 	28 	8 	30 	16.728 	3420 	5010 	3350 	-0.270 
80	10 	28 	8 	58 	32.649 	3240 	4920 	3260 	-0.380 
81	10 	28 	9 	3 	38.965 	3360 	4890 	3320 	-0.220 
82	10 	28 	9 	11 	58.224 	3480 	5130 	3290 	0.080 
83	10 	28 	9 	33 	36.983 	3390 	5070 	3260 	-0.340 
84	10 	28 	9 	33 	43.374 	3180 	4950 	3560 	-0.310 
85	10 	28 	9 	40 	52.507 	3300 	4920 	3350 	-0.270 
86	10 	28 	10 	5 	13.728 	3210 	4920 	3530 	-1.340 
87	10 	28 	10 	18 	2.967 	3360 	4980 	3230 	-0.250 
88	10 	28 	10 	19 	23.583 	3450 	5130 	3470 	-0.430 
89	10 	28 	10 	35 	2.617 	3240 	4920 	3440 	-0.230 
90	10 	28 	10 	49 	28.640 	3330 	4920 	3350 	-0.240 
91	10 	28 	10 	54 	54.444 	3210 	4920 	3440 	-0.250 
